RAM,avgRating,batteryCapacity,color,discount,lensDetail,memoryDetail,name,price,processor,ratingCount,reviewCount,screenDimention,warranty
,4.3,6000 mAh Lithium Ion Battery,"Nightsky Green,Sunrise Copper,Waterfall Blue",26% off,50MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹10,999",Exynos 850 Processor,"1,49,128 Ratings","8,528 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty Provided By the Manufacturer from Date of Purchase
,4.2,5000 mAh Lithium-Ion Battery,"Jade Purple,Opal Green",26% off,13MP + 2MP | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹8,499",Mediatek Helio P35 Processor,"22,509 Ratings","1,146 Reviews",16.51 cm (6.5 inch) HD Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
,4.3,5000 mAh Battery,"Power Black,Royal Blue",30% off,8MP Dual Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"POCO C51 (Power Black, 64 GB)","₹6,999",Helio G36 Processor,"12,486 Ratings",427 Reviews,16.56 cm (6.52 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
,3.9,5000 mAh Battery,"Lavender Blue,Matte Charcoal",28% off,50MP + 2MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"MOTOROLA g13 (Matte Charcoal, 128 GB)","₹9,999",Helio G85 Processor,"18,016 Ratings","1,721 Reviews",16.51 cm (6.5 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
,4.3,5000 mAh Battery,"Power Black,Royal Blue",30% off,8MP Dual Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"POCO C51 (Royal Blue, 64 GB)","₹6,999",Helio G36 Processor,"12,486 Ratings",427 Reviews,16.56 cm (6.52 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
,4.3,6000 mAh Lithium Ion Battery,"Nightsky Green,Sunrise Copper,Waterfall Blue",29% off,50MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","₹11,999",Exynos 850 Processor,"1,49,128 Ratings","8,528 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty Provided By the Manufacturer from Date of Purchase
,4.2,5000 mAh Lithium-Ion Battery,"Jade Purple,Opal Green",26% off,13MP + 2MP | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹8,499",Mediatek Helio P35 Processor,"22,509 Ratings","1,146 Reviews",16.51 cm (6.5 inch) HD Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
,3.9,5000 mAh Battery,"Arctic Blue,Eco Black",33% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"MOTOROLA e32 (Arctic Blue, 64 GB)","₹7,999",Mediatek Helio G37 Processor,"3,987 Ratings",324 Reviews,16.51 cm (6.5 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,8 GB",4.2,5000 mAh Battery,"Diamond White,Glacier Blue,Mirror Black",20% off,50MP + AI Lens | 5MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"Infinix HOT 30i (Glacier Blue, 128 GB)","₹9,499",G37 Processor,"19,144 Ratings","1,142 Reviews",16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,6 GB",4.2,5000 mAh Lithium-ion Polymer Battery,"Icy Blue,Power Black,Yellow",43% off,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"POCO M5 (Icy Blue, 64 GB)","₹8,999",Mediatek Helio G99 Processor,"6,621 Ratings",509 Reviews,16.71 cm (6.58 inch) Full HD+ Display,"1 Year for Handset, 6 Months for Accessories"
